Location,Age-standardized suicide rates (per 100 000 population),Mean BMI (kg/m²) (age-standardized estimate),UV radiation,"Nurses working in mental health sector (per 100,000)",Adolescent birth rate (per 1000 women aged 15-19 years),"13-15-years old any alcoholic beverage consumed in past 30 days, (%)","Alcohol, total per capita (15+) consumption (in litres of pure alcohol) with 95%CI",Estimate of daily tobacco use prevalence (%),Government expenditures on mental health as a percentage of total government expenditures on health (%),"Psychiatrists working in mental health sector (per 100,000)","Mental hospital admissions (per 100,000)",Out-of-pocket expenditure as percentage of current health expenditure (CHE) (%),Raised blood pressure (SBP>=140 OR DBP>=90) (crude estimate),"Social workers working in mental health sector (per 100,000)",Proportion of women aged 20-24 years who were married or in a union by age 15 (%)
Denmark,8.196666666666667,25.3,1.691,,2.533333333333333,,10.3,15.7,,,,13.706666666666669,22.1,,
Djibouti,12.096666666666666,24.0,5.461,,,,0.4,,,,0.0,23.293333333333333,20.2,,2.0
Dominican Republic,6.543333333333333,26.45,4.88,,51.0,38.0,6.7,6.5,0.61,2.28,13.13,44.07,17.9,0.29,12.0
Ecuador,9.066666666666668,27.200000000000003,4.929,0.056,72.43333333333334,,4.2,,1.2,0.46,2.22,41.21666666666667,15.1,0.019,4.0
Egypt,3.58,29.55,4.202,4.8,59.0,,0.4,18.7,2.29,1.6,1.75,58.28333333333333,22.4,0.45,2.0
El Salvador,6.236666666666667,27.65,5.364,,69.7,,3.9,8.7,,0.89,32.65,28.066666666666666,15.9,0.3,6.0
Equatorial Guinea,14.486666666666666,23.95,4.635,5.1,,,7.2,,,0.68,,75.85333333333334,22.4,0.085,9.0
Eritrea,18.330000000000002,20.7,5.914,2.17,,,1.4,6.1,1.91,,535.5,49.89333333333334,21.0,0.041,13.0
Estonia,13.673333333333332,26.4,1.781,23.48,11.166666666666666,,9.2,21.8,5.78,16.19,274.0,23.463333333333335,31.0,0.53,
Eswatini,46.11333333333334,26.8,3.9,9.1,,,10.0,6.5,,0.076,110.0,10.553333333333333,20.9,0.15,1.0
Ethiopia,9.796666666666667,20.55,5.929,1.0,,,2.4,3.4,,0.076,,35.52333333333333,22.9,0.04,14.0
Fiji,9.983333333333333,27.65,4.431,1.46,23.1,12.9,3.3,16.7,1.9,0.22,,19.08666666666667,19.7,0.56,
Finland,13.270000000000001,25.9,1.494,51.97,5.533333333333334,,10.8,14.0,3.86,23.59,128.3,18.983333333333334,23.5,2.75,
France,10.86,25.0,1.907,98.02,6.2,,12.3,24.3,12.91,20.91,985.4,9.596666666666666,24.5,,
Gabon,14.523333333333333,25.2,4.654,0.52,,,8.7,,0.62,0.26,,24.536666666666665,19.3,0.1,6.0
Gambia,10.02,23.95,5.358,0.3,67.5,,3.6,12.0,,0.1,10.48,26.926666666666666,20.0,0.1,9.0
Georgia,8.63,27.55,2.489,5.92,42.800000000000004,,8.3,22.6,2.83,6.71,,55.86666666666667,31.1,,1.0
